id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
59996bb7-7458-4e43-941a-fed69db32cfb,Raquel Pereira,1969-04-02,910.323.037-40,63875683,Ferreira dos Dourados,AC,Brasil,F,84 1717 7914,91032303740@exemplo.com.br,2025-01-06
088c9205-d999-4744-bc7e-568ca94b5d10,Heloisa Pinto,1948-05-09,328.950.209-36,07191813,Moura,CE,Brasil,F,+55 (051) 4149 5374,32895020936@exemplo.com.br,2025-05-01
b0cb5297-e5a8-405c-9aed-9b2808c7b66c,Nicolas Mendes,2003-09-15,731.091.212-03,21037574,Pacheco de Campos,AP,Brasil,M,+55 31 0738-0015,73109121203@exemplo.com.br,2024-02-21
42e64946-465c-47d5-839a-956c1ec86f59,Dr. Luiz Felipe Campos,1982-08-30,989.899.262-28,08963820,Porto de Campos,BA,Brasil,M,+55 (051) 0039-6301,98989926228@exemplo.com.br,2025-01-21
6311e5d2-4516-495c-98a9-c601d429363d,Dra. Amanda Aparecida,2004-08-10,742.262.134-97,88759-394,da Costa,MA,Brasil,M,(061) 4737 5820,74226213497@exemplo.com.br,2025-08-06
088fc97b-1635-4db3-b19d-b809e820e96c,Zoe Gonçalves,1995-02-16,938.276.295-05,47809221,Castro dos Dourados,TO,Brasil,F,+55 (084) 7066-4592,93827629505@exemplo.com.br,2024-07-02
4d3d77d0-7d8f-4c3f-818b-d82c6ac13e7d,Henry Cardoso,1962-12-30,338.315.523-99,86304455,Nascimento,PI,Brasil,F,61 7138-7941,33831552399@exemplo.com.br,2023-12-15
0118a491-159c-4f64-bd62-4034d898c057,Cecilia Andrade,1967-12-25,458.855.354-76,80860587,Farias do Galho,SE,Brasil,F,+55 (071) 7267 8386,45885535476@exemplo.com.br,2025-05-29
c2410d8f-3115-44c4-93f5-167c8c6db300,Emanuella Alves,1966-08-05,476.958.362-82,65531721,Mendes,MG,Brasil,M,0800 493 1849,47695836282@exemplo.com.br,2025-10-06
5e841b88-c939-40cd-943e-63f9f8f75a02,Renan Rocha,1972-09-12,000.285.363-03,87873-176,Câmara,PE,Brasil,M,0300-076-8184,00028536303@exemplo.com.br,2025-04-30
e6dca14f-f6b6-438b-9dee-851b81adc38f,Brayan Cunha,1943-02-13,803.143.908-52,47870108,Borges,SE,Brasil,F,11 9552 7790,80314390852@exemplo.com.br,2025-03-14
